rule_id,insurer_id,procedure_category,room_type,copay_pct,room_rent_cap_per_day,deduction_pct,rule_priority,effective_from,effective_to,notes
R001,INS001,SURGERY,ICU,0.10,15000,0.02,1,2022-01-01,9999-12-31,NationalCare cashless surgical in ICU
R002,INS001,SURGERY,HDU,0.10,10000,0.02,1,2022-01-01,9999-12-31,NationalCare cashless surgical in HDU
R003,INS001,SURGERY,PRIVATE,0.10,8000,0.03,1,2022-01-01,9999-12-31,NationalCare surgical private room
R004,INS001,SURGERY,DELUXE,0.10,8000,0.05,1,2022-01-01,9999-12-31,Deluxe capped at private rate
R005,INS001,SURGERY,SEMI_PRIVATE,0.10,5000,0.02,1,2022-01-01,9999-12-31,
R006,INS001,SURGERY,GENERAL,0.10,3000,0.02,1,2022-01-01,9999-12-31,
R007,INS001,THERAPY,ICU,0.10,15000,0.03,1,2022-01-01,9999-12-31,
R008,INS001,THERAPY,HDU,0.10,10000,0.03,1,2022-01-01,9999-12-31,
R009,INS001,THERAPY,PRIVATE,0.10,8000,0.04,1,2022-01-01,9999-12-31,
R010,INS001,THERAPY,DELUXE,0.10,8000,0.06,1,2022-01-01,9999-12-31,
R011,INS001,THERAPY,SEMI_PRIVATE,0.10,5000,0.03,1,2022-01-01,9999-12-31,
R012,INS001,THERAPY,GENERAL,0.10,3000,0.03,1,2022-01-01,9999-12-31,
R013,INS001,EMERGENCY,ICU,0.05,15000,0.02,1,2022-01-01,9999-12-31,Reduced copay on emergency admissions
R014,INS001,EMERGENCY,HDU,0.05,10000,0.02,1,2022-01-01,9999-12-31,
R015,INS001,EMERGENCY,*,0.05,8000,0.03,2,2022-01-01,9999-12-31,
R016,INS001,DIAGNOSTIC,*,0.10,0,0.05,2,2022-01-01,9999-12-31,Diagnostics reimbursed with flat deduction
R017,INS001,CONSULTATION,*,0.20,0,0.10,2,2022-01-01,9999-12-31,OPD consultations poorly covered
R018,INS001,*,*,0.10,6000,0.05,4,2022-01-01,9999-12-31,NationalCare catch-all
R101,INS002,SURGERY,ICU,0.20,12000,0.04,1,2022-01-01,9999-12-31,HealthBridge retail reimbursement
R102,INS002,SURGERY,HDU,0.20,8000,0.04,1,2022-01-01,9999-12-31,
R103,INS002,SURGERY,PRIVATE,0.20,6000,0.05,1,2022-01-01,9999-12-31,
R104,INS002,SURGERY,DELUXE,0.20,6000,0.08,1,2022-01-01,9999-12-31,Deluxe not covered above private cap
R105,INS002,SURGERY,SEMI_PRIVATE,0.20,4000,0.04,1,2022-01-01,9999-12-31,
R106,INS002,SURGERY,GENERAL,0.20,2500,0.04,1,2022-01-01,9999-12-31,
R107,INS002,THERAPY,ICU,0.20,12000,0.05,1,2022-01-01,9999-12-31,
R108,INS002,THERAPY,HDU,0.20,8000,0.05,1,2022-01-01,9999-12-31,
R109,INS002,THERAPY,PRIVATE,0.20,6000,0.06,1,2022-01-01,9999-12-31,
R110,INS002,THERAPY,DELUXE,0.20,6000,0.09,1,2022-01-01,9999-12-31,
R111,INS002,THERAPY,SEMI_PRIVATE,0.20,4000,0.05,1,2022-01-01,9999-12-31,
R112,INS002,THERAPY,GENERAL,0.20,2500,0.05,1,2022-01-01,9999-12-31,
R113,INS002,EMERGENCY,*,0.15,8000,0.04,2,2022-01-01,9999-12-31,
R114,INS002,DIAGNOSTIC,*,0.20,0,0.08,2,2022-01-01,9999-12-31,
R115,INS002,CONSULTATION,*,0.30,0,0.15,2,2022-01-01,9999-12-31,
R116,INS002,*,*,0.20,5000,0.07,4,2022-01-01,9999-12-31,HealthBridge catch-all
