insurer_id,item_category,exclusion_type,excluded_pct,effective_from,effective_to,notes
INS001,REGISTRATION,FULL,1.00,2022-01-01,9999-12-31,Registration and admission fees never payable
INS001,ADMIN_CHARGES,FULL,1.00,2022-01-01,9999-12-31,Medical records and documentation charges
INS001,ATTENDANT_CHARGES,FULL,1.00,2022-01-01,9999-12-31,Attendant bed and food not covered
INS001,NON_MEDICAL_CONSUMABLES,FULL,1.00,2022-01-01,9999-12-31,Gloves gowns and similar disposables
INS001,TELEPHONE_TV,FULL,1.00,2022-01-01,9999-12-31,
INS001,DIETARY,PARTIAL,0.50,2022-01-01,9999-12-31,Half of dietary charges payable
INS001,PHARMACY,PARTIAL,0.05,2022-01-01,9999-12-31,Five percent pharmacy disallowance
INS002,REGISTRATION,FULL,1.00,2022-01-01,9999-12-31,
INS002,ADMIN_CHARGES,FULL,1.00,2022-01-01,9999-12-31,
INS002,ATTENDANT_CHARGES,FULL,1.00,2022-01-01,9999-12-31,
INS002,NON_MEDICAL_CONSUMABLES,FULL,1.00,2022-01-01,9999-12-31,
INS002,TELEPHONE_TV,FULL,1.00,2022-01-01,9999-12-31,
INS002,DIETARY,FULL,1.00,2022-01-01,9999-12-31,HealthBridge excludes dietary entirely
INS002,PHARMACY,PARTIAL,0.10,2022-01-01,9999-12-31,Ten percent pharmacy disallowance
INS002,INVESTIGATION,PARTIAL,0.05,2022-01-01,9999-12-31,
